content,predicted_language,confidence_score
Mo ṣetán láti gbọ àwíjàre àwọn akẹkọọ Poly Ibadan tó ń ṣèwọdé lórí ayípadà orúkọ ilé ẹkọ náà - Makinde,yor,0.9999665021896362
Kò ṣe é má gbọ ọ,yor,0.9999654293060303
Orílẹèdè Morocco ń gbaradì láti di ibùdó alágbára lẹka eré bọọlù àfẹsẹgbá,yor,0.9999661445617676
Ìdí tí ẹgbẹ tó ń rí si ọrọ ilẹ Africa àti àwọn alátìlẹyìn Ibrahim Traore fi kéde ìdìtẹgbàjọba òfegè,yor,0.9999415874481201
"Fídíò, Ìtàn tó rọ mọ orúkọ Kòbọmọjẹ ní Ibadan àti ìdí tí àṣà dídá abẹ fọmọbìnrin ṣe dohun ìgbàgbé ní agboolé náà, Duration 6,48",yor,0.9999673366546631
"Ìwádìí ìjìnlẹ rèé nípa Ìjàpá, bó ṣe ń ní ìmọlára àyíká rẹ, bó ṣe ń dunnú tàbí gbèrò ohun rere bí èèyàn",yor,0.9999693632125854
Ìlú kan rèé ní Nàíjíríà níbi tí èèyàn àti ẹranko tí ń pín omi odò mu torí ọdá omi,yor,0.999957799911499
"Afurasí agbésùnmọmí Lakurawa ṣekúpa ọlọpàá mẹta ní Kebbi, agbébọn 400 kojú ọmọ ogun",yor,0.9999638795852661
Àwọn ọrọ àti ìṣesí ààrẹ Buhari tó dá awuyewuye sílẹ lásìkò ìjọba rẹ,yor,0.9999557733535767
"Fídíò, Ìwà kí obìnrin kan bá obìnrin míràn gbé òyún-bímọ di okoòwò ńlá, òfin wo ló tì í lẹyìn?, Duration 1,23",yor,0.9999679327011108
Gbogbo nnkan tó yẹ kí o mọ nípa ìrìnàjò Muhammadu Buhari láti kékeré títí tó fi kú,yor,0.999967098236084
NAPTIP kéde pé àwọn n wá Speed Darlington fún ẹsùn hihu ìwá kòtọọ pẹlú ọmọdé,yor,0.9999731779098511
"Ìgbéyàwó wú mi, kódà, mo tọrọ ọkọ ní Mecca, àmọ dandan kọ ni ọkọ níní, tó bá wá ni - Bukky Wright",yor,0.9999504089355469
Mo pàdánù àkọbí mi nítorí àìrí owó ilé ìwòsàn - Ibrahim Chatta,yor,0.9999585151672363
"Thomas Partey, agbábọọlù Arsenal tẹlẹ di èèrò ilé ẹjọ nítorí ẹsùn ìfipábánilòpọ",yor,0.9997095465660095
"Ilé ẹjọ ní nọọsì tó fún Mohbad lábẹrẹ gbọdọ jẹjọ, bu ẹnu àtẹ lu Wumi àti bàbá olóògbé",yor,0.9999687671661377
"Àlàfo wo ni ikú Ààrẹ tẹlẹ, Muhammadu Buhari yóò fi sí agbo òṣèlú ní Naijiria?",yor,0.9999690055847168
"Ṣé lóòótọ ni agbébọn jí ẹṣọ Àmọtẹkùn mẹfà gbé nIgboho, tí wọn tún pa lára wọn?",yor,0.9999630451202393
"Akẹkọọ tó gba máàkì 375 rugi oyin, àjọ Jamb ṣàlàyé ìdí tí kò lè fi rí fásitì wọ àti ojúṣe àwọn akẹkọọ lásìkò ìdánwò",yor,0.9999685287475586
"Orin, Kò ṣe é má gbọ ọ, Duration 1,02",yor,0.9998918771743774
Ǹjẹ o mọ pé obìnrin le bí ìbejì tí àwọn ọmọ nàá yóò sì ní bàbá ọtọọtọ?,yor,0.999962568283081
"Fídíò, Èyí ni iye àkàsọ tí Oludije sípò Olubadan yóò gun, kò tó dé orí ìtẹ, Duration 4,01",yor,0.9999082088470459
"Ohun tó yẹ kó o mọ nípa Peter Rufai, ohun táwọn èèkàn ń sọ nípa rẹ",yor,0.9999674558639526
"Rasheed Ladoja: Akọni olóṣèlú tó fi sùúrù gba adé Sẹnátọ àti gómìnà, tó tún fẹ gba adé Olubadan kẹrìnlélógójì",yor,0.999498724937439
"Fídíò, Peter Rufai papòdà, ohun ojú wa rí rèé ní ilé rẹ lẹyìn ikú rẹ., Duration 1,58",yor,0.9999343156814575
Obìnrin ti torí mi darapọ mọ iṣẹ tíátà rí-Ogogo,yor,0.9999608993530273
